154;FAILURE Обнаружен вирус в памяти Реально – Обнаружен вирус в памяти (зараженный процесс завершен)
304;FAILURE Ошибка при обновлении антивирусной базы
305;ERROR Критическая ошибка в работе службы обновлений Антивируса
309;ERROR  Ошибка соединения со службой обновлений
312;FAILURE  Ошибка при восстановлении антивирусной базы
271;компьютер ушел в аварийный режим
33538;неудачная попытка входа в систему
1104;нарушение контроля целостности системы
1102;неудачное выполнение задания контроля целостности
33282;отказ в аутентификации
4625;microsoft security auditing
5038;microsoft security auditing
33538;неудачная попытка входа в систему
